Year,State,abbr.x,Death_Rate,Deaths,abbr.y,Real_GDP_per_Capita
2021,Alabama,AL,26.4,1315,AL,42028.450000000004
2021,Alaska,AK,25.2,182,AL,67659.28
2021,Arizona,AZ,18.3,1365,AZ,48431.51
2021,Arkansas,AR,23.3,698,AR,41545.4
2021,California,CA,9,3576,CA,73934.82
2021,Colorado,CO,17.8,1064,CO,66068.43999999999
2021,Connecticut,CT,6.7,248,CN,69641.20999999999
2021,Delaware,DE,16.6,158,DE,64567.03
2021,Florida,FL,14.1,3142,FL,48142.9
2021,Georgia,GA,20.3,2200,GA,54179.78999999999
2021,Hawaii,HI,4.8,71,HI,52366.689999999995
2021,Idaho,ID,16.3,309,ID,43322.06
2021,Illinois,IL,16.1,1995,IL,63421.32
2021,Indiana,IN,18.4,1251,IN,51654.32
2021,Iowa,IA,11.2,364,IA,55331.689999999995
2021,Kansas,KS,17.3,503,KS,56156.24
2021,Kentucky,KY,21.1,947,KY,44627.98
2021,Louisiana,LA,29.1,1314,LA,47308.15
2021,Maine,ME,12.6,178,ME,46750.619999999995
2021,Maryland,MD,15.2,915,MD,59805.37
2021,Massachusetts,MA,3.4,247,MI,77896.55
2021,Michigan,MI,15.4,1544,MI,48865.119999999995
2021,Minnesota,MN,10,573,MN,61273.96
2021,Mississippi,MS,33.9,962,MS,35555.54
2021,Missouri,MO,23.2,1414,MO,48669.21
2021,Montana,MT,25.1,280,MT,44308.189999999995
2021,Nebraska,NE,10.3,200,NE,62776.64
2021,Nevada,NV,19.8,633,NV,52066.380000000005
2021,New Hampshire,NH,8.3,123,NH,59491.51
2021,New Jersey,NJ,5.2,475,NJ,62807.5
2021,New Mexico,NM,27.8,578,NM,44793.18
2021,New York,NY,5.4,1078,NY,79434.45
2021,North Carolina,NC,17.3,1839,NC,52295.68
2021,North Dakota,ND,16.8,128,ND,68174.08
2021,Ohio,OH,16.5,1911,OH,54347.3
2021,Oklahoma,OK,21.2,836,OK,47611.350000000006
2021,Oregon,OR,14.9,670,OR,55377.03
2021,Pennsylvania,PA,14.8,1905,PA,55969.41
2021,Rhode Island,RI,5.6,64,RI,50664.33
2021,South Carolina,SC,22.4,1136,SC,42861.21
2021,South Dakota,SD,14.3,128,SD,54745.97
2021,Tennessee,TN,22.8,1569,TN,52156.9
2021,Texas,TX,15.6,4613,TX,62482.67
2021,Utah,UT,13.9,450,UT,56781
2021,Vermont,VT,11.9,83,VT,48519.619999999995
2021,Virginia,VA,14.3,1248,VA,59070.57
2021,Washington,WA,11.2,896,WA,74773.65000000001
2021,West Virginia,WV,17.3,319,WV,40364
2021,Wisconsin,WI,13.5,793,WI,52897.759999999995
2021,Wyoming,WY,26.1,155,WY,62516.83
